,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Apex Investments Limited.,,,,,,,,,,,,CLIENT ACCOUNT STATUS-MARGIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"06, Gulshan Avenue, Block SW(H),
Gulshan -1, Dhaka-1212",,,,,,,,,,,,,,,,,,,,Tranding Date: 3-Apr-16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investor Code,,,,,,Matured Balance,,Loan Amount,,,Margin Sec. Value,, All Sec. Value,,Marginable Equity,Approved Margin,,,All Equiry,,Purchase Power,,,Withdraw Power,,,Debt to Equity Ratio,,,,
,,,Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H1,,Head Office,,,"-1,251,350.18",,,"3,141,269.22",,,"7,413,298.40",,"8,887,498.40",,"10,544,333.34","4,217,733.34",,,"12,018,533.34",,,"7,359,002.56",,,,"8,140,269.22",,,592.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H2,,Head Office,,,"-253,770.80",,,"-253,770.80",,,"17,877,320.40",,"17,877,320.40",,"17,468,569.13","5,000,000.00",,,"17,468,569.13",,,"4,746,229.20",,,,"2,372,114.60",,,"7,044.67",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00h15,,Head Office,,,"-369,589.54",,,"-369,589.54",,,"316,683.00",,"316,683.00",,"-107,979.54","-43,191.82",,,"-107,979.54",,,"-412,781.36",,,,"-207,390.68",,,85.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H22,,Head Office,,,"-361,712.38",,,"-361,712.38",,,"588,923.00",,"588,923.00",,"208,989.36","52,247.34",,,"208,989.36",,,"-309,465.04",,,,"-155,732.52",,,162.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H28,,Head Office,,,"-77,638.97",,,"-77,638.97",,,0.00,,"258,400.00",,"-81,687.82","-24,470.81",,,"176,712.18",,,"-102,109.78",,,,"-103,109.78",,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total :,,,,,,"-2,314,061.87",,,"2,078,557.53",,"26,196,224.80",,"17,877,320.40",,"28,032,224.47",,"9,202,318.05",,,"29,764,824.47",,"11,280,875.58",,,,"10,046,150.84",,,"7,885.60",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
